 A  R  8.8
 A 33  7.4 
 A 34 11.5
 A z1  8.3
 B  C 11.0
 B 34 17.5
 B z1  3.9
 C  O 11.5
 C  1 11.2
 C  3  7.9
 D  3  8.2
 D  4 12.7
 D  5 11.3
 D  7 15.1
 E  7  7.2
 E  8  8.0
 E  9  7.8
 E 11 14.2
 F  9  5.6
 F 10 10.6
 F 12 12.2
 G 11  6.8
 G 12  7.8
 G 13  8.6
 H 12 10.2
 H 14  9.9
 I 15  8.8
 I 16 11.8
 I 18  8.2
 I z2 11.2
 J 11 13.2
 J 18  8.2
 J 19  8.1
 J z2  4.6
 K 17  9.8
 K 18  9.2
 K 21  4.1
 K 22 10.1
 L  6 11.8
 L  7 14.5
 L 19  7.2
 L 20  5.5
 M  N 14.2
 M  O 19.8
 M  5 11.4
 M  6  9.5
 M 25 12.0
 N 23  7.9
 N 24 13.2
 N 25  8.8
 N 26 10.5
 O  P 10.1
 O  R 12.9
 O  1  6.0
 O  2  9.2
 P 26 10.5
 P 28 12.1
 P 29 15.2
 Q 28  8.3
 Q 29  7.2
 Q 30  7.7
 R 29  7.9
 R 31  9.2
 1 z1  2.0
 2  3  4.8
 2  5  8.3
 4 z3  8.1
 5  6  9.7
 6  7  7.3
 8 z3 12.3
13 14  8.6
13 z2  5.2
14 z4  7.8
15 z4  7.2
16 17  6.8
17 22  6.7
19 20  9.3
20 21  7.9
20 25  6.5
21 23  9.1
21 25  7.8
22 23 10.0
23 24  8.9
24 z5  9.2
26 27  7.8
27 28  7.9
27 z5  9.6
30 32 10.3
31 32  8.1
31 33  7.3
32 z6  6.8
33 z6 12.2
34 35  8.2
35 z6  8.1
